Talá bakonzi ya mokili oyo bana ya Yisraele balongaki mpe bazwaki mokili na bango na ngámbo ya Yordani oyo ezali epai moi ebimaka,  banda na lobwaku ya mokɛli ya Arnone,  matá tii na Ngomba Heremone  mpe Araba  mobimba, epai moi ebimaka: ## .
Sihone  mokonzi ya Baamore, oyo azalaki kofanda na Heshibone  mpe azalaki koyangela banda na Aroere,  oyo ezalaki pembenipembeni ya lobwaku ya mokɛli ya Arnone,  mpe na katikati ya lobwaku ya mokɛli yango, mpe ndambo ya Gileade tii na lobwaku ya mokɛli ya Yaboke,  ndelo ya bana ya Amone, ## .
mpe Araba  tii na mbu ya Kinerete  na ngámbo ya ɛsti mpe tii na mbu ya Araba, elingi koloba Mbu ya Mungwa,  na ɛsti na ngámbo ya Bete-yeshimote,  mpe na ngámbo ya sudi na nse esika mopanzi ya Pisga  ekiti. ## .
Mpe teritware ya Oge  mokonzi ya Bashane, ya Barefaime  oyo batikalaki, oyo bazalaki kofanda na Ashetarote  mpe na Edrei, ## .
mpe oyo azalaki koyangela Ngomba Heremone  mpe Saleka mpe Bashane  mobimba, kino na ndelo ya Bageshure  mpe Bamaakate,  mpe ndambo ya Gileade, tii na teritware ya Sihone,  mokonzi ya Heshibone. ## .
Moize mosaleli ya Yehova ná bana ya Yisraele nde balongaki bango,  mpe na nsima, Moize mosaleli ya Yehova apesaki yango Barubene,  Bagade  mpe ndambo ya libota ya Manase,  mpo ezala ya bango. ## .
Mpe talá bakonzi ya mokili oyo Yosua ná bana ya Yisraele balongaki na ngámbo ya wɛsti ya Yordani, banda na Baala-gade  na lobwaku ya patatalu ya Libá,  tii na Ngomba Halake,  oyo emati na Seire,  mpe na nsima, Yosua apesaki yango mabota ya Yisraele, libota na libota na eteni na yango, mpo ezala ya bango, ## .
na etúká ya ngombangomba mpe na Shefela mpe na Araba mpe na bisika mipanzi ya bangomba ekiti mpe na esobe mpe na Negebe,  elingi koloba Bahiti, Baamore  mpe Bakanana, Baperizi, Bahivi mpe Bayebusi: ## .
Mokonzi ya Yeriko,  moko; mokonzi ya Ai,  oyo azalaki pembeni ya Betele, moko; ## .
mokonzi ya Yerusaleme,  moko; mokonzi ya Hebrone,  moko; ## .
mokonzi ya Yaramute,  moko; mokonzi ya Lakishi,  moko; ## .
Mokonzi ya Eglone,  moko; mokonzi ya Gezere,  moko; ## .
mokonzi ya Debire,  moko; mokonzi ya Gedere, moko; ## .
mokonzi ya Horoma, moko; mokonzi ya Arade, moko; ## .
mokonzi ya Libina,  moko; mokonzi ya Adulame, moko; ## .
mokonzi ya Makeda,  moko; mokonzi ya Betele,  moko; ## .
mokonzi ya Tapua, moko; mokonzi ya Hefere,  moko; ## .
mokonzi ya Afeke, moko; mokonzi ya Lasharone, moko; ## .
mokonzi ya Madone,  moko; mokonzi ya Hazore,  moko; ## .
mokonzi ya Shimirone-merone, moko; mokonzi ya Akashafe,  moko; ## .
mokonzi ya Taanake, moko; mokonzi ya Megido,  moko; ## .
mokonzi ya Kedeshe, moko; mokonzi ya Yokoneame  na Karamele, moko; ## .
mokonzi ya Dore na nsɔngɛ ya ngomba ya Dore,  moko; mokonzi ya Goyime na Gilgale, moko; ## .
mokonzi ya Tireza, moko; bakonzi yango nyonso bazalaki ntuku misato na moko (31). ## .
